区间索引	测试分布	基线分布	差异	log(P/Q)	KL贡献
0	0.095505	0.163467	-0.067962	-0.537431	-0.051327
1	0.000000	0.000000	-0.000000	-1.859021	0.000000
2	0.000000	0.000001	-0.000001	-8.562853	0.000000
3	0.000100	0.000013	0.000087	2.068640	0.000207
4	0.000200	0.000146	0.000055	0.318224	0.000064
5	0.000200	0.000305	-0.000105	-0.421817	-0.000084
6	0.000400	0.000523	-0.000123	-0.267666	-0.000107
7	0.001201	0.001316	-0.000115	-0.091228	-0.000110
8	0.001802	0.003263	-0.001461	-0.593705	-0.001070
9	0.006007	0.008981	-0.002974	-0.402256	-0.002416
10	0.006007	0.008862	-0.002855	-0.388892	-0.002336
11	0.000601	0.001110	-0.000509	-0.613785	-0.000369
12	0.017719	0.025468	-0.007749	-0.362768	-0.006428
13	0.000601	0.000887	-0.000286	-0.389716	-0.000234
14	0.004305	0.005338	-0.001033	-0.215157	-0.000926
15	0.001702	0.001971	-0.000269	-0.146835	-0.000250
16	0.051457	0.082888	-0.031431	-0.476747	-0.024532
17	0.000801	0.000951	-0.000150	-0.171299	-0.000137
18	0.002703	0.005550	-0.002847	-0.719467	-0.001945
19	0.014015	0.020631	-0.006615	-0.386622	-0.005419
20	0.014816	0.021152	-0.006336	-0.356001	-0.005275
21	0.005706	0.008261	-0.002554	-0.369925	-0.002111
22	0.004205	0.005778	-0.001573	-0.317879	-0.001337
23	0.003103	0.003010	0.000093	0.030415	0.000094
24	0.192512	0.319601	-0.127090	-0.506917	-0.097588
25	0.192412	0.319601	-0.127190	-0.507438	-0.097637
26	0.003103	0.003010	0.000093	0.030415	0.000094
27	0.004605	0.005778	-0.001173	-0.226907	-0.001045
28	0.007909	0.008261	-0.000352	-0.043528	-0.000344
29	0.021824	0.021152	0.000672	0.031282	0.000683
30	0.022625	0.020631	0.001994	0.092271	0.002088
31	0.007608	0.005550	0.002058	0.315429	0.002400
32	0.001001	0.000951	0.000051	0.051845	0.000052
33	0.092802	0.082888	0.009914	0.112983	0.010485
34	0.003003	0.001971	0.001032	0.421149	0.001265
35	0.008309	0.005338	0.002971	0.442483	0.003677
36	0.001902	0.000887	0.001015	0.762963	0.001451
37	0.038342	0.025468	0.012874	0.409117	0.015686
38	0.002202	0.001110	0.001093	0.685498	0.001510
39	0.014816	0.008862	0.005954	0.513975	0.007615
40	0.014816	0.008981	0.005835	0.500611	0.007417
41	0.006107	0.003263	0.002844	0.626797	0.003828
42	0.002303	0.001316	0.000986	0.559360	0.001288
43	0.001301	0.000523	0.000778	0.910989	0.001186
44	0.001201	0.000305	0.000896	1.369942	0.001646
45	0.000601	0.000146	0.000455	1.416836	0.000851
46	0.000000	0.000013	-0.000013	-11.747972	0.000000
47	0.000000	0.000001	-0.000001	-8.562853	0.000000
48	0.000000	0.000000	-0.000000	-1.859021	0.000000
49	0.375914	0.163467	0.212447	0.832749	0.313041
