区间索引	测试分布	基线分布	差异	log(P/Q)	KL贡献
0	0.162178	0.163467	-0.001289	-0.007914	-0.001283
1	0.000000	0.000000	-0.000000	-1.859021	0.000000
2	0.000000	0.000001	-0.000001	-8.562853	0.000000
3	0.000000	0.000013	-0.000013	-11.747972	0.000000
4	0.000400	0.000146	0.000255	1.011371	0.000405
5	0.000501	0.000305	0.000195	0.494473	0.000248
6	0.000801	0.000523	0.000278	0.425481	0.000341
7	0.001201	0.001316	-0.000115	-0.091228	-0.000110
8	0.004205	0.003263	0.000942	0.253593	0.001066
9	0.009010	0.008981	0.000029	0.003209	0.000029
10	0.009010	0.008862	0.000148	0.016573	0.000149
11	0.001201	0.001110	0.000092	0.079362	0.000095
12	0.027030	0.025468	0.001561	0.059504	0.001608
13	0.001001	0.000887	0.000114	0.121110	0.000121
14	0.006207	0.005338	0.000869	0.150777	0.000936
15	0.002102	0.001971	0.000131	0.064474	0.000136
16	0.076184	0.082888	-0.006704	-0.084337	-0.006425
17	0.000801	0.000951	-0.000150	-0.171299	-0.000137
18	0.004305	0.005550	-0.001245	-0.254104	-0.001094
19	0.019822	0.020631	-0.000809	-0.039997	-0.000793
20	0.020222	0.021152	-0.000930	-0.044945	-0.000909
21	0.007508	0.008261	-0.000752	-0.095488	-0.000717
22	0.005906	0.005778	0.000128	0.021989	0.000130
23	0.003704	0.003010	0.000694	0.207346	0.000768
24	0.318450	0.319601	-0.001151	-0.003608	-0.001149
25	0.318150	0.319601	-0.001451	-0.004552	-0.001448
26	0.002703	0.003010	-0.000307	-0.107735	-0.000291
27	0.004805	0.005778	-0.000973	-0.184348	-0.000886
28	0.009110	0.008261	0.000849	0.097884	0.000892
29	0.023326	0.021152	0.002174	0.097826	0.002282
30	0.022124	0.020631	0.001494	0.069899	0.001546
31	0.005906	0.005550	0.000356	0.062234	0.000368
32	0.001101	0.000951	0.000151	0.147155	0.000162
33	0.088698	0.082888	0.005810	0.067747	0.006009
34	0.001001	0.001971	-0.000970	-0.677464	-0.000678
35	0.003404	0.005338	-0.001934	-0.449997	-0.001532
36	0.000701	0.000887	-0.000186	-0.235565	-0.000165
37	0.023926	0.025468	-0.001542	-0.062455	-0.001494
38	0.001001	0.001110	-0.000109	-0.102960	-0.000103
39	0.008509	0.008862	-0.000352	-0.040586	-0.000345
40	0.008710	0.008981	-0.000271	-0.030693	-0.000267
41	0.002703	0.003263	-0.000560	-0.188240	-0.000509
42	0.001602	0.001316	0.000286	0.196454	0.000315
43	0.000901	0.000523	0.000378	0.543264	0.000489
44	0.000300	0.000305	-0.000005	-0.016352	-0.000005
45	0.000100	0.000146	-0.000046	-0.374923	-0.000038
46	0.000000	0.000013	-0.000013	-11.747972	0.000000
47	0.000000	0.000001	-0.000001	-8.562853	0.000000
48	0.000000	0.000000	-0.000000	-1.859021	0.000000
49	0.167084	0.163467	0.003617	0.021885	0.003657
