区间索引	测试分布	基线分布	差异	log(P/Q)	KL贡献
0	0.114126	0.163467	-0.049341	-0.359311	-0.041007
1	0.000000	0.000000	-0.000000	-1.859021	0.000000
2	0.000000	0.000001	-0.000001	-8.562853	0.000000
3	0.000000	0.000013	-0.000013	-11.747972	0.000000
4	0.000200	0.000146	0.000055	0.318224	0.000064
5	0.000200	0.000305	-0.000105	-0.421817	-0.000084
6	0.000400	0.000523	-0.000123	-0.267666	-0.000107
7	0.001101	0.001316	-0.000215	-0.178239	-0.000196
8	0.002202	0.003263	-0.001060	-0.393034	-0.000866
9	0.008109	0.008981	-0.000872	-0.102152	-0.000828
10	0.007608	0.008862	-0.001253	-0.152503	-0.001160
11	0.000901	0.001110	-0.000209	-0.208320	-0.000188
12	0.020222	0.025468	-0.005246	-0.230650	-0.004664
13	0.000901	0.000887	0.000014	0.015749	0.000014
14	0.004805	0.005338	-0.000533	-0.105156	-0.000505
15	0.002403	0.001971	0.000432	0.198005	0.000476
16	0.060467	0.082888	-0.022421	-0.315396	-0.019071
17	0.001001	0.000951	0.000051	0.051845	0.000052
18	0.003904	0.005550	-0.001646	-0.351742	-0.001373
19	0.014916	0.020631	-0.005714	-0.324318	-0.004838
20	0.015617	0.021152	-0.005535	-0.303357	-0.004738
21	0.006407	0.008261	-0.001854	-0.254093	-0.001628
22	0.005006	0.005778	-0.000773	-0.143526	-0.000718
23	0.003003	0.003010	-0.000007	-0.002375	-0.000007
24	0.219441	0.319601	-0.100160	-0.375989	-0.082508
25	0.219341	0.319601	-0.100260	-0.376446	-0.082570
26	0.002503	0.003010	-0.000508	-0.184696	-0.000462
27	0.005106	0.005778	-0.000672	-0.123723	-0.000632
28	0.008509	0.008261	0.000249	0.029675	0.000253
29	0.021924	0.021152	0.000772	0.035859	0.000786
30	0.021023	0.020631	0.000392	0.018844	0.000396
31	0.008509	0.005550	0.002959	0.427347	0.003636
32	0.001402	0.000951	0.000451	0.388317	0.000544
33	0.096606	0.082888	0.013719	0.153158	0.014796
34	0.001802	0.001971	-0.000169	-0.089677	-0.000162
35	0.006908	0.005338	0.001569	0.257749	0.001780
36	0.001301	0.000887	0.000415	0.383474	0.000499
37	0.034838	0.025468	0.009370	0.313284	0.010914
38	0.002303	0.001110	0.001193	0.729949	0.001681
39	0.013215	0.008862	0.004353	0.399565	0.005280
40	0.013715	0.008981	0.004734	0.423380	0.005807
41	0.005106	0.003263	0.001843	0.447749	0.002286
42	0.002102	0.001316	0.000786	0.468388	0.000985
43	0.000901	0.000523	0.000378	0.543264	0.000489
44	0.000601	0.000305	0.000295	0.676795	0.000407
45	0.000300	0.000146	0.000155	0.723689	0.000217
46	0.000100	0.000013	0.000087	2.068640	0.000207
47	0.000000	0.000001	-0.000001	-8.562853	0.000000
48	0.000000	0.000000	-0.000000	-1.859021	0.000000
49	0.317049	0.163467	0.153582	0.662445	0.210027
