区间索引	测试分布	基线分布	差异	log(P/Q)	KL贡献
0	0.129943	0.163467	-0.033524	-0.229515	-0.029824
1	0.000000	0.000000	-0.000000	-1.859021	0.000000
2	0.000000	0.000001	-0.000001	-8.562853	0.000000
3	0.000000	0.000013	-0.000013	-11.747972	0.000000
4	0.000100	0.000146	-0.000046	-0.374923	-0.000038
5	0.000300	0.000305	-0.000005	-0.016352	-0.000005
6	0.000300	0.000523	-0.000223	-0.555348	-0.000167
7	0.001502	0.001316	0.000186	0.131916	0.000198
8	0.003003	0.003263	-0.000260	-0.082880	-0.000249
9	0.008009	0.008981	-0.000972	-0.114574	-0.000918
10	0.008209	0.008862	-0.000653	-0.076518	-0.000628
11	0.001101	0.001110	-0.000008	-0.007650	-0.000008
12	0.022124	0.025468	-0.003344	-0.140755	-0.003114
13	0.001001	0.000887	0.000114	0.121110	0.000121
14	0.004505	0.005338	-0.000833	-0.169695	-0.000764
15	0.001902	0.001971	-0.000069	-0.035610	-0.000068
16	0.068575	0.082888	-0.014312	-0.189552	-0.012999
17	0.000901	0.000951	-0.000050	-0.053516	-0.000048
18	0.004405	0.005550	-0.001145	-0.231114	-0.001018
19	0.018020	0.020631	-0.002611	-0.135307	-0.002438
20	0.018120	0.021152	-0.003032	-0.154716	-0.002803
21	0.006908	0.008261	-0.001353	-0.178869	-0.001236
22	0.005606	0.005778	-0.000172	-0.030197	-0.000169
23	0.002503	0.003010	-0.000508	-0.184696	-0.000462
24	0.257283	0.319601	-0.062318	-0.216898	-0.055804
25	0.257383	0.319601	-0.062218	-0.216509	-0.055726
26	0.003103	0.003010	0.000093	0.030415	0.000094
27	0.005306	0.005778	-0.000472	-0.085257	-0.000452
28	0.007508	0.008261	-0.000752	-0.095488	-0.000717
29	0.020623	0.021152	-0.000529	-0.025337	-0.000523
30	0.020422	0.020631	-0.000208	-0.010144	-0.000207
31	0.006207	0.005550	0.000657	0.111831	0.000694
32	0.001301	0.000951	0.000351	0.314209	0.000409
33	0.091801	0.082888	0.008913	0.102137	0.009376
34	0.002303	0.001971	0.000331	0.155445	0.000358
35	0.007208	0.005338	0.001870	0.300309	0.002165
36	0.000801	0.000887	-0.000086	-0.102034	-0.000082
37	0.033737	0.025468	0.008269	0.281165	0.009486
38	0.001402	0.001110	0.000292	0.233512	0.000327
39	0.012414	0.008862	0.003552	0.337045	0.004184
40	0.012914	0.008981	0.003933	0.363211	0.004691
41	0.004305	0.003263	0.001042	0.277123	0.001193
42	0.002703	0.001316	0.001387	0.719702	0.001945
43	0.000501	0.000523	-0.000023	-0.044522	-0.000022
44	0.000200	0.000305	-0.000105	-0.421817	-0.000084
45	0.000200	0.000146	0.000055	0.318224	0.000064
46	0.000000	0.000013	-0.000013	-11.747972	0.000000
47	0.000000	0.000001	-0.000001	-8.562853	0.000000
48	0.000000	0.000000	-0.000000	-1.859021	0.000000
49	0.259786	0.163467	0.096319	0.463247	0.120345
